-9.99006	945.85013
-9.71024	864.54901
-9.42029	770.73781
-9.13003	698.14191
-8.84058	631.16606
-8.55072	558.22372
-8.26087	506.03239
-7.97101	453.83932
-7.68136	406.39748
-7.39140	356.54802
-7.10185	315.95300
-6.81159	283.65235
-6.52172	241.19428
-6.26188	200.44725
-5.94203	191.99862
-5.57217	162.42301
-5.36232	136.55717
-5.06246	113.70694
-4.88261	103.09538
-4.51275	80.88436
-4.20290	71.72433
-3.90304	53.36540
-3.63319	44.63538
-3.33033	42.91654
-3.04348	42.42015
-2.75312	31.81151
-2.66377	28.66760
-2.17391	15.07450
-1.88406	18.79471
-1.59420	24.52307
-1.30435	6.69719
-1.01449	15.72462
-0.72464	4.56273
-0.43478	11.74884
-0.14493	1.70725
0.14493	5.10368
0.43478	11.88431
0.72464	-1.25041
1.01449	0.54524
1.30435	2.42728
1.59520	6.02603
1.88406	6.67596
2.17391	5.27835
2.46377	2.73225
2.75562	3.85911
3.04348	7.23190
3.33333	11.02273
3.62819	-2.60531
3.91304	10.77972
4.20290	22.84974
4.49275	10.17601
4.78261	11.08182
5.07246	18.88227
5.36232	24.08984
5.65217	30.80230
5.94203	36.72290
6.23188	43.11424
6.52174	52.19127
6.81159	62.98674
7.10145	65.79145
7.39130	79.22825
7.68116	103.81756
7.97101	122.89576
8.26087	138.15327
8.55072	162.21873
8.84058	181.07543
9.13043	204.77870
9.42029	230.68473
9.71014	264.99670
10.00020	304.42903
